AC	ID	DE	AU	SE	SS	GA	TC	NC	TP	BM	CB	SM	DR	RN	RM	RT	RA	RL	WK	SQ	CC	PI	CL	**
RF01183	SNORD19B	Small nucleolar RNA SNORD19B	Wilkinson A; 0000-0001-7406-0151	Predicted; WAR; Wilkinson A	Predicted; WAR; Wilkinson A	50.00	51.60	48.20	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25 -Z 549862.597050 CM SEQDB	snoRNABase; HBII-108B;;SO; 0001263; ncRNA_gene;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	16990247	snoSeeker: an advanced computational package for screening of guide and;orphan snoRNA genes in the human genome.	Yang JH, Zhang XC, Huang ZP, Zhou H, Huang MB, Zhang S, Chen YQ, Qu LH	Nucleic Acids Res. 2006;34:5112-5123.	Small_nucleolar_RNA	17			CL00048	
RF00051	mir-17	mir-17 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	48.30	48.40	48.10	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000001;;SO; 0001244; pre_miRNA;;GO; 0035195; gene silencing by miRNA;;GO; 0016442; RISC complex;	[1];[2];[3]	11679670;11779458;30423142	Identification of novel genes coding for small expressed RNAs.;microRNAs: tiny regulators with great potential.;miRBase: from microRNA sequences to function.	Lagos-Quintana M, Rauhut R, Lendeckel W, Tuschl T;Ambros V;Kozomara A, Birgaoanu M, Griffiths-Jones S	Science 2001;294:853-858.;Cell 2001;107:823-826.;Nucleic Acids Res. 2019;47:D155.	mir-17_microRNA_precursor_family	233	This family represents the microRNA (miRNA) precursor mir-17, family,;which includes mir-20, mir-91, and mir-103. miRNAs are transcribed as;~70nt precursors (modelled here) and subsequently processed by the Dicer;enzyme to give a ~22nt product. In this case the mature sequence comes;from the 3' arm of the precursor. The extents of the hairpin precursors;are not generally known and are estimated based on hairpin prediction. The;products are thought to have regulatory roles through complementarity to;mRNA. The involvement of Dicer in miRNA processing suggests a relationship;with the phenomenon of RNA interference. miRNAs are numbered based on the;sequence of the mature RNA. This family represents the microRNA (miRNA);precursor mir-17 imported from miRBase.			
RF02917	Burkholderiales-2	Burkholderiales-2 RNA	Argasinska J; 0000-0003-2678-2824;Weinberg Z; 0000-0002-6681-3624	Weinberg Z	Published; PMID:28977401;	67.90	67.90	37.50	Cis-reg;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 29.61 -Z 742849.287494 --mxsize;128 CM SEQDB	SO; 0005836; regulatory_region;	[1]	28977401	Detection of 224 candidate structured RNAs by comparative analysis of;specific subsets of intergenic regions.	Weinberg Z, Lunse CE, Corbino KA, Ames TD, Nelson JW, Roth A, Perkins KR,;Sherlock ME, Breaker RR	Nucleic Acids Res. 2017;45:10811-10823.	Burkholderiales-2_RNA_motif	19	BetaProteobacteria, Bacteroidetes (suspicious). Big IGRs			
RF02319	TtnuHACA12	Tetrahymena snoRNA TtnuHACA12	Eberhardt R; 0000-0001-6152-1369	Eberhardt R	Predicted; mfold;	80.00	89.50	51.90	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 32.03 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	21967850	Experimental identification and analysis of macronuclear non-coding RNAs;from the ciliate Tetrahymena thermophila.	Andersen KL, Nielsen H	Nucleic Acids Res. 2012;40:1267-1281.	Small_nucleolar_RNA	2				
RF00816	mir-245	microRNA mir-245	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	70.00	72.80	42.20	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000257;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1];[2]	19755563;30423142	Repertoire and evolution of miRNA genes in four divergent nematode;species.;miRBase: from microRNA sequences to function.	de Wit E, Linsen SE, Cuppen E, Berezikov E;Kozomara A, Birgaoanu M, Griffiths-Jones S	Genome Res. 2009;19:2064-2074.;Nucleic Acids Res. 2019;47:D155.	MicroRNA	4				
RF00218	SNORD46	Small nucleolar RNA SNORD46	Griffiths-Jones SR; 0000-0001-6043-807X;Eberhardt R; 0000-0001-6152-1369	Griffiths-Jones SR	Predicted; Griffiths-Jones SR	40.00	43.10	39.30	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 22.00 -Z 549862.597050 CM SEQDB	SO; 0000593; C_D_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;;snoopy; Mus_musculus300956;;snoopy; Spermophilus_tridecemlineatus300291;	[1];[2]	8764399;12736310	Intron-encoded, antisense small nucleolar RNAs: the characterization of;nine novel species points to their direct role as guides for the;2'-O-ribose methylation of rRNAs.;The high diversity of snoRNAs in plants: identification and comparative;study of 120 snoRNA genes from Oryza sativa.	Nicoloso M, Qu LH, Michot B, Bachellerie JP;Chen CL, Liang D, Zhou H, Zhuo M, Chen YQ, Qu LH	J Mol Biol 1996;260:178-195.;Nucleic Acids Res 2003;31:2601-2613.	Small_nucleolar_RNA_SNORD46	5	U40 is a C/D box small nucleolar RNA, also known as snoZ153 in plants. The;human sequence has also been annotated in the sequence databases as U46.;U40 is encoded in intron 2 of the ribosomal protein S8 gene in human, and;is hypothesised to guide methylation of 2'-O-ribose residues on 28S;ribosomal RNA [1]. This family represents vertebrate U40.	U40	CL00061	
RF01930	bxd_2	Bithoraxoid conserved region 2	Eberhardt R; 0000-0001-6152-1369	Predicted; WAR; Eberhardt R	Predicted; WAR;	80.00	91.00	35.00	Gene; lncRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	SO; 0001463; lincRNA;;GO; 0031507; heterochromatin assembly;	[1];[2]	17174895;17568198	Transcription of bxd noncoding RNAs promoted by trithorax represses Ubx in;cis by transcriptional interference.;A model for initiation of mosaic HOX gene expression patterns by;non-coding RNAs in early embryos.	Petruk S, Sedkov Y, Riley KM, Hodgson J, Schweisguth F, Hirose S, Jaynes;JB, Brock HW, Mazo A;Petruk S, Sedkov Y, Brock HW, Mazo A	Cell. 2006;127:1209-1221.;RNA Biol. 2007;4:1-6.	Bxd_(gene)	5	Bithoraxoid (bxd) is a long non-coding RNA found in Drosophila. It;silences the expression of the Ultrabithorax (Ubx) gene by transcriptional;interference [1,2].			
RF02789	snoTBR12	Small nucleolar RNA TBR12	Argasinska J; 0000-0003-2678-2824	Argasinska J	Predicted; RNAfold	77.00	77.50	34.90	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 451031.997884 --mxsize;128 CM SEQDB	SO; 0000593; C_D_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1];[2]	10908346;10747997	The genes for small nucleolar RNAs in Trypanosoma brucei are organized in;clusters and are transcribed as a polycistronic RNA.;Fibrillarin-associated box C/D small nucleolar RNAs in Trypanosoma brucei.;Sequence conservation and implications for 2'-O-ribose methylation of;rRNA.	Dunbar DA, Chen AA, Wormsley S, Baserga SJ;Dunbar DA, Wormsley S, Lowe TM, Baserga SJ	Nucleic Acids Res. 2000;28:2855-2861.;J Biol Chem. 2000;275:14767-14776.	Small_nucleolar_RNA_TBR12	3	TBR12 was one of seventeen snoRNAs identified in Trypanosoma brucei.[2];Together with TBR2, TBR6 and TBR4 it is a part of snoRNA gene cluster that;is tandemly repeated. These 4 snoRNA genes are transcribed as a;polycistronic RNA transcript.[1]			
RF03469	mir-1179	mir-1179 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	80.00	80.40	77.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000632;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	7	This family represents the microRNA (miRNA) precursor mir-1179 imported;from miRBase.			
RF03831	mir-627	mir-627 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	86.00	86.50	84.00	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000550;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	3	This family represents the microRNA (miRNA) precursor mir-627 imported;from miRBase.			
RF04228	MIR6140	MIR6140 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	140.00	143.70	114.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 0 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001666;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	4	This family represents the microRNA (miRNA) precursor MIR6140 imported;from miRBase.			
RF00688	MIR394	microRNA MIR394	Wilkinson A; 0000-0001-7406-0151	miRBase; Wilkinson A	Predicted; WAR; Wilkinson A	60.00	60.20	59.70	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000100;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1];[2];[3]	15200956;15200956;16954541	Computational identification of plant microRNAs and their targets,;including a stress-induced miRNA.;Computational identification of plant microRNAs and their targets,;including a stress-induced miRNA.;MicroRNAs and other small RNAs enriched in the Arabidopsis RNA-dependent;RNA polymerase-2 mutant.	Jones-Rhoades MW, Bartel DP;Jones-Rhoades MW, Bartel DP;Lu C, Kulkarni K, Souret FF, MuthuValliappan R, Tej SS, Poethig RS,;Henderson IR, Jacobsen SE, Wang W, Green PJ, Meyers BC	Mol Cell. 2004;14:787-799.;Mol Cell. 2004;14:787-799.;Genome Res. 2006;16:1276-1288.	Mir-394_microRNA_precursor_family	19				
RF01568	DdR18	Dictyostelium snoRNA DdR18	Osuch I	INFERNAL	Published; PMID:15333696	80.00	125.70	37.60	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 29.82 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	15333696	Novel non-coding RNAs in Dictyostelium discoideum and their expression;during development.	Aspegren A, Hinas A, Larsson P, Larsson A, Soderbom F	Nucleic Acids Res. 2004;32:4646-4656.	Small_nucleolar_RNA	3				
RF00227	FIE3	FIE3 (ftz instability element 3') element	Bateman A; 0000-0002-6982-4660;Griffiths-Jones SR; 0000-0001-6043-807X	PMID:8649416	Predicted; stemloc, Bateman A	40.00	40.30	39.40	Cis-reg;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000233; mature_transcript;;GO; 0061157; mRNA destabilization;	[1]	8649416	Determinants of Drosophila fushi tarazu mRNA instability.	Riedl A, Jacobs-Lorena M	Mol Cell Biol 1996;16:3047-3053.	FIE3_(ftz_instability_element_3')_element	5	The fushi tarazu gene is essential for the establishment of the Drosophila;embryonic body plan. When first expressed in early embryogenesis, fushi;tarazu mRNA is uniformly distributed over most of the embryo.;Subsequently, fushi tarazu mRNA expression rapidly evolves into a pattern;of seven stripes that encircle the embryo. The instability of fushi tarazu;mRNA is probably crucial for attaining this localised pattern of;expression [1]. Experiments provide evidence for at least two;destabilising elements in the fushi tarazu mRNA, one located within the 5';one-third of the mRNA and the other near the 3' end (termed FIE3 for ftz;instability element 3'). The FIE3 lies within a 201-nucleotide sequence;just upstream of the polyadenylation signal and can act autonomously to;destabilise a heterologous mRNA. Further deletion constructs identified an;essential 68-nucleotide element within the FIE3 [1].			
RF02570	BM-sr0117	Brucella melitensis small RNA 0117	Argasinska J; 0000-0003-2678-2824	Argasinska J	Predicted; PMID:26778206	112.00	112.20	31.60	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 549862.597050 --mxsize;128 CM SEQDB	SO; 0000370; small_regulatory_ncRNA;	[1]	26778206	Characterization of ribonuclease III from Brucella.	Wu CX, Xu XJ, Zheng K, Liu F, Yang XD, Chen CF, Chen HC, Liu ZF	Gene. 2016;579:183-192.	Brucella_sRNA	3				
RF02742	Rev72	Soft rot Enterobacteriaceae Rev 72 asRNA	Argasinska J; 0000-0003-2678-2824	Argasinska J	Predicted; RNAfold	289.00	289.60	63.30	Gene; antisense;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 549862.597050 --mxsize;128 CM SEQDB	SO; 0000370; small_regulatory_ncRNA;;GO; 0009267; cellular response to starvation;	[1]	26753530	Discovery and profiling of small RNAs responsive to stress conditions in;the plant pathogen Pectobacterium atrosepticum.	Kwenda S, Gorshkov V, Ramesh AM, Naidoo S, Rubagotti E, Birch PR, Moleleki;LN	BMC Genomics. 2016;17:47.	Soft_rot_Enterobacteriaceae_(SRE)_small_RNAs	3	From bacteria cultured under starvation conditions. Antisense to gudP.			
RF03690	mir-9058	mir-9058 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	80.00	80.00	79.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0002028;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-9058 imported;from miRBase.			
RF00829	mir-149	microRNA mir-149	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	79.00	79.70	48.10	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000274;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1];[2]	12007417;30423142	Identification of tissue-specific microRNAs from mouse.;miRBase: from microRNA sequences to function.	Lagos-Quintana M, Rauhut R, Yalcin A, Meyer J, Lendeckel W, Tuschl T;Kozomara A, Birgaoanu M, Griffiths-Jones S	Curr Biol. 2002;12:735-739.;Nucleic Acids Res. 2019;47:D155.	MicroRNA	13				
RF00015	U4	U4 spliceosomal RNA	Griffiths-Jones SR; 0000-0001-6043-807X;Ontiveros-Palacios N; 0000-0001-8457-4455	Zwieb C, The uRNA database, PMID:9016512	Published; PMID:2339054; Griffiths-Jones SR	46.00	46.00	45.90	Gene; snRNA; splicing;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	SO; 0000393; U4_snRNA;;GO; 0000244; spliceosomal tri-snRNP complex assembly;;GO; 0000353; formation of quadruple SL/U4/U5/U6 snRNP;;GO; 0017070; U6 snRNA binding;;GO; 0005687; U4 snRNP;;GO; 0046540; U4/U6 x U5 tri-snRNP complex;	[1];[2];[3];[4];[5];[6];[7];[8];[9];[10];[11];[12];[13]	9016512;11163207;9452384;2339054;26655855;26743623;26106855;26829225;28530653;28781166;29794219;30315277;30975767	The uRNA database.;Crystal structure of the spliceosomal 15.5kD protein bound to a U4 snRNA;fragment.;A spliceosomal recycling factor that reanneals U4 and U6 small nuclear;ribonucleoprotein particles.;The spliceosomal snRNAs of Caenorhabditis elegans.;Structural Analysis of Multi-Helical RNAs by NMR-SAXS/WAXS: Application to;the U4/U6 di-snRNA.;The 3.8 A structure of the U4/U6.U5 tri-snRNP: Insights into spliceosome;assembly and catalysis.;The architecture of the spliceosomal U4/U6.U5 tri-snRNP.;Cryo-EM structure of the yeast U4/U6.U5 tri-snRNP at 3.7 A resolution.;Structure of a pre-catalytic spliceosome.;Cryo-EM Structure of a Pre-catalytic Human Spliceosome Primed for;Activation.;Structures of the fully assembled Saccharomyces cerevisiae spliceosome;before activation.;Structures of the human pre-catalytic spliceosome and its precursor;spliceosome.;Mechanism of 5' splice site transfer for human spliceosome activation.	Zwieb C;Vidovic I, Nottrott S, Hartmuth K, Luhrmann R, Ficner R;Raghunathan PL, Guthrie C;Thomas J, Lea K, Zucker-Aprison E, Blumenthal T;Cornilescu G, Didychuk AL, Rodgers ML, Michael LA, Burke JE, Montemayor;EJ, Hoskins AA, Butcher SE;Wan R, Yan C, Bai R, Wang L, Huang M, Wong CC, Shi Y;Nguyen TH, Galej WP, Bai XC, Savva CG, Newman AJ, Scheres SH, Nagai K;Nguyen THD, Galej WP, Bai XC, Oubridge C, Newman AJ, Scheres SHW, Nagai K;Plaschka C, Lin PC, Nagai K;Bertram K, Agafonov DE, Dybkov O, Haselbach D, Leelaram MN, Will CL,;Urlaub H, Kastner B, Luhrmann R, Stark H;Bai R, Wan R, Yan C, Lei J, Shi Y;Zhan X, Yan C, Zhang X, Lei J, Shi Y;Charenton C, Wilkinson ME, Nagai K	Nucleic Acids Res 1997;25:102-103.;Mol Cell 2000;6:1331-1342.;Science 1998;279:857-860.;Nucleic Acids Res 1990;18:2633-2642.;J Mol Biol. 2016;428:777-789.;Science. 2016;351:466-475.;Nature. 2015;523:47-52.;Nature. 2016;530:298-302.;Nature. 2017;546:617-621.;Cell. 2017;170:701-713.;Science. 2018;360:1423-1429.;Cell Res. 2018;28:1129-1140.;Science. 2019;364:362-367.	U4_spliceosomal_RNA	177	U4 small nuclear RNA (U4 snRNA) is a component of the major U2-dependent;spliceosome. It forms a duplex with U6, and with each splicing round, it;is displaced from U6 (and the spliceosome) in an ATP-dependent manner,;allowing U6 to re-fold and create the active site for splicing catalysis.;A recycling process involving protein Prp24 re-anneals U4 and U6. U4/U6;di-snRNA is conserved in eukaryotes and is part of the large;ribonucleoprotein complex: U4 / U6.U5 tri-snRNP [5,8]. The structure of U4;snRNA from yeast[5,6,8,9,11] and human[2,7,10,12,13] has been reported. U4;snRNA present two regions where U4 and U6 form helixes (stem II and stem I;share helixes) and two stem loops (5p-SL and 3p-SL), in human, is also;present an extra SL in the 3p end. U4 snRNA presents a k-turn RNA motif in;the 5p-SL related to recognition of Snu13 protein [8]. The structure of U4;spliceosomal RNA has been reported in PDBs: 2N7M, 3JCM, 3JCR, 5GAN, 5GAP,;5NRL, 5O9Z, 5ZWM, 5ZWO, 6AH0, 6AHD, AQW6, 6QX9 [5-13]		CL00007	
RF02326	TtnuHACA19	Tetrahymena snoRNA TtnuHACA19	Eberhardt R; 0000-0001-6152-1369	Eberhardt R	Predicted; mfold;	100.00	154.90	38.60	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	21967850	Experimental identification and analysis of macronuclear non-coding RNAs;from the ciliate Tetrahymena thermophila.	Andersen KL, Nielsen H	Nucleic Acids Res. 2012;40:1267-1281.	Small_nucleolar_RNA	2				
RF00471	snosnR48	Small nucleolar RNA snR48	Moxon SJ; 0000-0003-4644-1816	Moxon SJ	Predicted; ILM	60.00	67.20	57.20	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 36.46 -Z 549862.597050 CM SEQDB	SO; 0000593; C_D_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1];[2]	12007400;10024243	Small nucleolar RNAs: an abundant group of noncoding RNAs with diverse;cellular functions.;A computational screen for methylation guide snoRNAs in yeast.	Kiss T;Lowe TM, Eddy SR	Cell 2002;109:145-148.;Science 1999;283:1168-1171.	Small_nucleolar_RNA_snR48	6	snR48 is a member of the C/D class of snoRNA which contain the C (UGAUGA);and D (CUGA) box motifs. Most of the members of the box C/D family;function in directing site-specific 2'-O-methylation of substrate RNAs;[1].		CL00066	
RF01791	F6	F6 TB sRNA	Moore B; 0000-0002-4074-1933	Published; PMID:19555452	Published; PMID:19555452	46.00	47.30	45.10	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	19555452	Identification of small RNAs in Mycobacterium tuberculosis.	Arnvig KB, Young DB	Mol Microbiol. 2009;73:397-408.	Mycobacterium_tuberculosis_sRNA	16				
RF00643	MIR171_1	microRNA MIR171_1	Wilkinson A; 0000-0001-7406-0151	miRBase; Wilkinson A	Predicted; WAR; Wilkinson A	48.00	48.00	47.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000030;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1];[2];[3]	12101121;12202040;15994906	MicroRNAs in plants.;Prediction of plant microRNA targets.;Novel and mechanical stress-responsive MicroRNAs in Populus trichocarpa;that are absent from Arabidopsis.	Reinhart BJ, Weinstein EG, Rhoades MW, Bartel B, Bartel DP;Rhoades MW, Reinhart BJ, Lim LP, Burge CB, Bartel B, Bartel DP;Lu S, Sun YH, Shi R, Clark C, Li L, Chiang VL	Genes Dev. 2002;16:1616-1626.;Cell. 2002;110:513-520.;Plant Cell. 2005;17:2186-2203.	MicroRNA	57			CL00099	
RF02114	FAM13A-AS1_1	FAM13A antisense RNA 1 conserved region 1	Eberhardt R; 0000-0001-6152-1369	Predicted; WAR; Eberhardt R	Predicted; WAR;	70.00	77.90	63.40	Gene; lncRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 28.29 -Z 549862.597050 CM SEQDB	SO; 0001463; lincRNA;	[1]	15234000	Cloning and characterization of FAM13A1--a gene near a milk protein QTL on;BTA6: evidence for population-wide linkage disequilibrium in Israeli;Holsteins.	Cohen M, Reichenstein M, Everts-van der Wind A, Heon-Lee J, Shani M, Lewin;HA, Weller JI, Ron M, Seroussi E	Genomics. 2004;84:374-383.	Long_non-coding_RNA	10				
RF02928	Actinomyces-1	Actinomyces-1 RNA	Weinberg Z; 0000-0002-6681-3624	Weinberg Z	Published; PMID:28977401;	39.10	39.10	36.90	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.02 -Z 742849.287494 --mxsize;128 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	28977401	Detection of 224 candidate structured RNAs by comparative analysis of;specific subsets of intergenic regions.	Weinberg Z, Lunse CE, Corbino KA, Ames TD, Nelson JW, Roth A, Perkins KR,;Sherlock ME, Breaker RR	Nucleic Acids Res. 2017;45:10811-10823.	Actinomyces-1_RNA_motif	236	Actinomyces. Lineage (Actinomycetales)			
RF03200	mir-BART13	mir-BART13 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	70.00	97.90	47.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001051;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-BART13 imported;from miRBase.			
RF04025	mir-7964	mir-7964 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	80.00	83.70	36.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001749;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-7964 imported;from miRBase.			
RF01557	TB9Cs4H1	Trypanosomatid snoRNA TB9Cs4H1	Doniger T; 0000-0001-6708-8404;Michaeli S;Unger R;Osuch I	Predicted; WAR;	Predicted; WAR;	40.00	47.90	33.60	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	15840815	A genome-wide analysis of C/D and H/ACA-like small nucleolar RNAs in;Trypanosoma brucei reveals a trypanosome-specific pattern of rRNA;modification.	Liang XH, Uliel S, Hury A, Barth S, Doniger T, Unger R, Michaeli S	RNA. 2005;11:619-645.	Trypanosome_H/ACA_box_snoRNAs	4				
